施設名,物件名,表示,割合,累計,2026/05/01,2026/05/02,2026/05/03,2026/05/04,2026/05/05,2026/05/06,2026/05/07,2026/05/08,2026/05/09,2026/05/10,2026/05/11,2026/05/12,2026/05/13,2026/05/14,2026/05/15,2026/05/16,2026/05/17,2026/05/18,2026/05/19,2026/05/20,2026/05/21,2026/05/22,2026/05/23,2026/05/24,2026/05/25,2026/05/26,2026/05/27,2026/05/28,2026/05/29,2026/05/30,2026/05/31,2026/06/01,2026/06/02,2026/06/03,2026/06/04,2026/06/05,2026/06/06,2026/06/07,2026/06/08,2026/06/09,2026/06/10,2026/06/11,2026/06/12,2026/06/13,2026/06/14,2026/06/15,2026/06/16,2026/06/17,2026/06/18,2026/06/19,2026/06/20,2026/06/21,2026/06/22,2026/06/23,2026/06/24,2026/06/25,2026/06/26,2026/06/27,2026/06/28,2026/06/29,2026/06/30
Minn house Niseko Hirafu,全体,販売数,1.000,142,2,5,5,4,2,1,1,1,0,0,1,1,1,1,0,0,1,2,4,4,1,2,3,4,4,2,2,2,2,3,3,3,3,3,5,2,1,1,4,4,3,4,4,4,2,2,1,3,3,3,2,1,1,1,1,1,3,3,4,3,3
Minn house Niseko Hirafu,全体,新規予約数,1.000,34,3,1,2,1,1,1,0,0,1,1,0,0,2,2,2,0,0,2,0,0,1,2,0,3,0,1,2,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tower eleven hotel,全体,販売数,1.000,716,13,13,13,13,13,11,6,4,11,9,7,9,9,13,13,13,13,13,13,13,12,13,13,12,8,9,12,13,13,13,13,9,10,9,13,13,13,11,12,13,13,13,13,13,13,12,10,12,13,13,13,13,13,13,13,13,9,13,9,13,13
tower eleven hotel,全体,新規予約数,1.000,253,7,7,6,7,2,10,8,7,7,10,4,10,6,10,10,9,7,10,1,10,4,2,11,8,10,8,6,6,8,10,13,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES CON FIELD HOKKAIDO HOTEL Kitahiroshima Station,全体,販売数,1.000,6387,143,148,125,155,142,57,70,71,52,55,76,96,116,114,139,133,60,80,86,108,116,147,156,90,108,107,115,136,157,142,77,57,89,120,92,103,143,66,88,144,145,151,157,141,67,70,120,116,139,155,74,51,89,66,29,111,141,125,40,61,60
ES CON FIELD HOKKAIDO HOTEL Kitahiroshima Station,全体,新規予約数,1.000,3477,104,77,74,84,103,104,107,93,99,101,96,99,142,108,155,138,113,114,80,129,105,70,84,98,112,127,101,122,126,97,95,168,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minn 北広島 Station East（Kitahiroshima Station East）,全体,販売数,1.000,427,10,12,13,14,14,2,2,5,6,4,2,4,4,5,10,11,6,4,9,11,7,7,10,4,2,4,4,4,14,11,6,9,10,8,7,8,10,3,5,8,7,9,10,8,4,4,5,5,7,8,8,4,5,3,6,8,8,11,6,4,8
Minn 北広島 Station East（Kitahiroshima Station East）,全体,新規予約数,1.000,220,10,6,6,6,7,5,6,10,6,7,7,8,9,8,4,8,9,6,6,5,9,4,5,8,10,6,8,3,7,4,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minn 千歳 (Chitose),全体,販売数,1.000,2374,39,42,45,34,35,34,40,50,36,23,31,41,41,41,49,45,44,39,49,42,43,41,42,29,39,44,41,49,46,42,43,40,51,33,38,37,47,39,35,33,42,28,42,39,41,40,47,50,44,48,34,40,38,35,30,28,24,29,26,29,28
Minn 千歳 (Chitose),全体,新規予約数,1.000,1124,43,36,43,26,39,35,38,25,37,45,26,45,41,32,47,38,48,41,42,43,22,28,25,34,33,34,29,15,21,21,40,28,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
